10;
Start;End
0,232;
Start;End
0,23;
Start;End
0,193;
Start;End
0,218;
Start;End
0,194;
Start;End
0,192;
Start;End
0,195;
Start;End
0,175;
Start;End
0,205;
Start;End
0,189;
100;
Start;End
0,348;
Start;End
0,34;
Start;End
0,291;
Start;End
0,438;
Start;End
0,402;
Start;End
0,294;
Start;End
0,326;
Start;End
0,293;
Start;End
0,295;
Start;End
0,375;
1000;
Start;End
2,148;
Start;End
2,003;
Start;End
1,825;
Start;End
1,691;
Start;End
1,845;
Start;End
1,868;
Start;End
1,747;
Start;End
1,866;
Start;End
1,781;
Start;End
1,884;
10000;
Start;End
8,674;
Start;End
8,361;
Start;End
8,723;
Start;End
8,442;
Start;End
8,665;
Start;End
8,67;
Start;End
9,102;
Start;End
8,349;
Start;End
8,594;
Start;End
8,793;
100000;
Start;End
69,699;
Start;End
69,918;
Start;End
78,002;
Start;End
75,451;
Start;End
69,55;
Start;End
74,052;
Start;End
69,435;
Start;End
68,692;
Start;End
68,35;
Start;End
77,263;
1000000;
Start;End
818,009;
Start;End
799,002;
Start;End
859,651;
Start;End
830,416;
Start;End
835,899;
Start;End
828,305;
Start;End
770,906;
Start;End
816,846;
Start;End
814,619;
Start;End
820,966;
